name
PSV Eindhoven
Feyenoord Rotterdam
Twente Enschede
AZ Alkmaar
Ajax Amsterdam
NEC Nijmegen
FC Utrecht
Sparta Rotterdam
Go Ahead Eagles Deventer
Fortuna Sittard
SC Heerenveen
PEC Zwolle
Almere City
Heracles Almelo
RKC Waalwijk
Excelsior Rotterdam
FC Volendam
Vitesse Arnheim
