name
RSC Anderlecht
FC Arsenal
Panathinaikos Athen
FC Barcelona
Borussia Dortmund
PSV Eindhoven
Celtic Glasgow
Fenerbahce SK
Galatasaray SK
Dynamo Kiew
Deportivo La Coruna
Bayer 04 Leverkusen
Lille OSC
FC Liverpool
Olympique Lyon
Real Madrid
RCD Mallorca
Manchester United
Lokomotive Moskau
Spartak Moskau
Bayern München
FC Nantes
Olympiakos Piräus
Boavista Porto
FC Porto
Sparta Prag
AS Rom
Lazio Rom
Feyenoord Rotterdam
FC Schalke 04
Rosenborg Trondheim
Juventus Turin
