name
Ajax Amsterdam
RSC Anderlecht
FC Arsenal
FC Barcelona
FC Basel
FCSB Bukarest
FC Chelsea
Schachtar Donezk
Borussia Dortmund
Celtic Glasgow
Galatasaray SK
FC Kopenhagen
Bayer 04 Leverkusen
Benfica Lissabon
Atletico Madrid
Real Madrid
AC Mailand
Manchester City
Manchester United
Olympique Marseille
ZSKA Moskau
Bayern München
SSC Neapel
Paris St. Germain
Viktoria Pilsen
Olympiakos Piräus
FC Porto
Real Sociedad San Sebastian
FC Schalke 04
Zenit St. Petersburg
Juventus Turin
Austria Wien
