name
Ajax Amsterdam
RSC Anderlecht
FC Arsenal
AEK Athen
Panathinaikos Athen
Partizan Belgrad
Club Brügge
FC Chelsea
PSV Eindhoven
Glasgow Rangers
Celtic Glasgow
Besiktas JK
Galatasaray SK
Dynamo Kiew
Deportivo La Coruna
Olympique Lyon
Real Madrid
AC Mailand
Inter Mailand
Manchester United
Olympique Marseille
AS Monaco
Lokomotive Moskau
Bayern München
Olympiakos Piräus
FC Porto
Sparta Prag
Lazio Rom
Real Sociedad San Sebastian
VfB Stuttgart
Juventus Turin
Celta Vigo
