name
AEK Athen
FC Barcelona
FC Glentoran
Slovan Bratislava
Club Brügge
Ferencvaros Budapest
Dinamo Bukarest
PSV Eindhoven
Glasgow Rangers
IFK Göteborg
Besiktas JK
Kuusysi Lahti
Leeds United
Olimpija Ljubljana
US Luxemburg
Lyngby BK
AC Mailand
Olympique Marseille
ZSKA Moskau
APOEL Nikosia
FC Porto
Lech Posen
Vikingur Reykjavik
Skonto Riga
Tawrija Simferopol
FC Sion
ZSKA-Sofia
Viking Stavanger
VfB Stuttgart
Maccabi Tel Aviv
Zalgiris Vilnius
Austria Wien
