name
Bayern München
Hamburger SV
Bor. Mönchengladbach
Borussia Dortmund
Werder Bremen
Bayer 04 Leverkusen
1. FC Kaiserslautern
KFC Uerdingen 05
1. FC Nürnberg
1. FC Köln
VfL Bochum
VfB Stuttgart
FC Schalke 04
SV Waldhof Mannheim
Eintracht Frankfurt
FC 08 Homburg
Fortuna Düsseldorf
Blau-Weiß 90 Berlin
