name
1. FC Köln
MSV Duisburg
Eintracht Frankfurt
Borussia Dortmund
VfB Stuttgart
Hamburger SV
TSV 1860 München
FC Schalke 04
1. FC Nürnberg
Werder Bremen
Eintracht Braunschweig
1. FC Kaiserslautern
Karlsruher SC
Hertha BSC
Preußen Münster
1. FC Saarbrücken
