name
Bor. Mönchengladbach
Bayern München
Hertha BSC
Eintracht Braunschweig
Hamburger SV
FC Schalke 04
MSV Duisburg
1. FC Kaiserslautern
Hannover 96
Werder Bremen
1. FC Köln
VfB Stuttgart
Borussia Dortmund
Arminia Bielefeld
Eintracht Frankfurt
Rot-Weiß Oberhausen
Kickers Offenbach
Rot-Weiss Essen
