name
Bayer 04 Leverkusen
VfB Stuttgart
Bayern München
RB Leipzig
Borussia Dortmund
Eintracht Frankfurt
TSG Hoffenheim
1. FC Heidenheim
Werder Bremen
SC Freiburg
FC Augsburg
VfL Wolfsburg
1. FSV Mainz 05
Bor. Mönchengladbach
1. FC Union Berlin
VfL Bochum
1. FC Köln
SV Darmstadt 98
