name
FC Augsburg
TSG Balingen
1. FC Union Berlin
Hertha BSC
TuS Makkabi Berlin
TuS Bersenbrück
Arminia Bielefeld
VfL Bochum
Eintracht Braunschweig
Werder Bremen
Energie Cottbus
SV Darmstadt 98
Atlas Delmenhorst
Borussia Dortmund
Fortuna Düsseldorf
SV Elversberg
Rot-Weiss Essen
Eintracht Frankfurt
FSV Frankfurt
SC Freiburg
SpVgg Greuther Fürth
FC Gütersloh
Hallescher FC
Hamburger SV
Hannover 96
1. FC Heidenheim
TSG Hoffenheim
FC 08 Homburg
FV Illertissen
Carl Zeiss Jena
1. FC Kaiserslautern
Karlsruher SC
Holstein Kiel
FC Rot-Weiß Koblenz
1. FC Köln
FC Viktoria Köln
1. FC Lok Leipzig
RB Leipzig
Bayer 04 Leverkusen
VfB Lübeck
1. FC Magdeburg
1. FSV Mainz 05
TSV Schott Mainz
Bor. Mönchengladbach
Bayern München
Preußen Münster
1. FC Nürnberg
SV Oberachern
FC Oberneuland
VfL Osnabrück
FC Teutonia Ottensen
SC Paderborn 07
Jahn Regensburg
Hansa Rostock
Rostocker FC
1. FC Saarbrücken
SV Sandhausen
FC Schalke 04
FC St. Pauli
VfB Stuttgart
SpVgg Unterhaching
FC-Astoria Walldorf
SV Wehen Wiesbaden
VfL Wolfsburg
