name

# 2020
# League JPN 2 (13) - >Japan J.League 2<:
  JEF Utd Ichihara
  Kyoto Sanga FC
  Mito Hollyhock
  Niigata Albirex
  Renofa Yamaguchi
  Giravanz Kitakyush
  Zweigen Kanazawa
  Ehime FC
  Thespakusatsu
  Machida Zelvia
  FC Ryukyu
  Tochigi SC
  Fagiano Okayama

# 2019
# League JPN 2 (13) - >Japan J.League 2<:
  Zweigen Kanazawa
  Kyoto Sanga FC
  Kagoshima United
  Ehime FC
  Machida Zelvia
  Niigata Albirex
  Fagiano Okayama
  Mito Hollyhock
  FC Ryukyu
  JEF Utd Ichihara
  Renofa Yamaguchi
  FC Gifu
  Tochigi SC

# 2020
# League JPN 2 (13) - >Japan J.League 2<:
  JEF Utd Ichihara
  Kyoto Sanga FC
  Mito Hollyhock
  Niigata Albirex
  Renofa Yamaguchi
  Giravanz Kitakyush
  Zweigen Kanazawa
  Ehime FC
  Thespakusatsu
  Machida Zelvia
  FC Ryukyu
  Tochigi SC
  Fagiano Okayama
