count,name,leagues
10,Hamrun Spartan,UEFA CL (2)·UEFA CONF (4)·UEFA CL Q (2)·UEFA CONF Q (2)
6,Gzira United,UEFA CONF (6)
4,Balzan FC,UEFA CONF (4)
4,Floriana FC,MLT CUP (1)·UEFA CONF Q (3)
3,Birkirkara FC,UEFA CONF (2)·MLT CUP (1)
2,Marsaxlokk FC,UEFA CONF Q (2)
1,Gzira United FC,MLT CUP (1)
1,Sliema Wandere,UEFA CONF Q (1)
1,Sliema Wanderers,MLT CUP (1)
