count,name,leagues
32,Ludogorets,BUL CUP (4)·BUL 1 (7)·UEFA CL (4)·UEFA EL (4)·UEFA CONF (8)·UEFA CL Q (5)
16,Levski Sofia,BUL 1 (9)·UEFA CONF (6)·BUL CUP (1)
15,Botev Plovdiv,BUL 1 (7)·BUL CUP (3)·UEFA EL Q (4)·UEFA CONF Q (1)
15,CSKA 1948 Sofia,BUL CUP (2)·BUL 1 (11)·UEFA CONF (2)
11,Beroe Stara Zagora,BUL 1 (11)
11,ZSKA Sofia,BUL 1 (7)·UEFA CONF (2)·BUL CUP (2)
10,Lokomotive Sofia,BUL 1 (10)
10,PFC Slavia Sofia,BUL 1 (10)
9,Cherno More,BUL 1 (7)·UEFA CONF Q (2)
9,Lokomotiv Plovdiv,BUL 1 (9)
7,FK Arda Kurdzhali,BUL 1 (7)
7,FK Hebar Pazardzhi,BUL 1 (6)·BUL CUP (1)
6,Botev Vratsa,BUL 1 (6)
6,Pirin Blagoevgrad,BUL 1 (6)
5,FC Krumovgrad,BUL 1 (5)
4,Et. Veliko Tarnovo,BUL 1 (4)
4,FK Septemvri Sofia,BUL 1 (4)
3,CSKA 1948,UEFA CONF Q (3)
2,Spartak Varna,BUL 1 (2)
1,FC Dunav 2010,BUL CUP (1)
