count,name,leagues
4,Palestino,CHI CUP (1)·CHI 1 (3)
3,Cobresal,CHI CUP (1)·CHI 1 (2)
3,Coquimbo Unido,CHI 1 (3)
3,Huachipato,CHI 1 (3)
3,Nublense,CHI 1 (3)
2,Audax Italiano,CHI CUP (1)·CHI 1 (1)
2,Colo Colo,CHI CUP (2)
2,O'Higgins,CHI 1 (2)
2,Union Espanola,CHI 1 (2)
2,Univers. de Chile,CHI 1 (2)
1,CD Copiapo,CHI CUP (1)
1,CD La Serena,CHI 2 (1)
1,CD Magallanes,CHI CUP (1)
1,Curico Unido,CHI 1 (1)
1,Deportes Iquique,CHI 1 (1)
1,Deportes Rengo,CHI CUP (1)
1,Everton Vina d.Mar,CHI 1 (1)
1,Santiago Morning,CHI CUP (1)
1,Union La Calera,CHI CUP (1)
1,Union San Felipe,CHI 2 (1)
