count,name,leagues
6,CS Herediano,CRC 1 (2)·CONCACAF CL (4)
3,LD Alajuelense,CRC 1 (1)·CONCACAF CL (2)
3,Puntarenas FC,CRC 1 (3)
2,AD San Carlos,CRC 1 (2)
2,CS Cartagines,CRC 1 (2)
2,Deportivo Saprissa,CRC 1 (2)
2,Municipal Grecia,CRC 1 (2)
2,Perez Zeledon,CRC 1 (2)
2,Santos de Guapiles,CRC 1 (2)
2,Sporting San Jose,CRC 1 (2)
1,AD Guanacasteca,CRC 1 (1)
1,Dep. Saprissa,CONCACAF CL (1)
1,Municipal Liberia,CRC 1 (1)
