count,name,leagues
7,B.Podgorica,UEFA CL (2)·UEFA CONF (2)·UEFA CONF Q (3)
5,FK Decic Tuzi,UEFA CL Q (2)·UEFA CONF Q (3)
4,FK Mornar Bar,UEFA CONF Q (4)
3,Sutj. Niksic,UEFA CONF (3)
2,FK Arsenal Tiv,UEFA CONF (2)
1,Bud. Podgorica,MNE CUP (1)
1,FK Jezero Plav,MNE CUP (1)
