count,name,leagues
24,CFR 1907 Cluj,ROU 1 (17)·UEFA CONF (2)·ROU CUP (2)·UEFA CONF Q (3)
22,FCS Bukarest,ROU 1 (13)·UEFA CONF (4)·ROU SC (1)·UEFA CL Q (4)
20,Rapid Bukarest,ROU 1 (20)
19,Sepsi Sf.Gheorghe,ROU CUP (1)·ROU SC (1)·ROU 1 (17)
18,Dinamo Bukarest,ROU 1 (18)
16,ASC Otelul Galati,ROU 1 (13)·ROU CUP (3)
16,CS Uni Craiova,ROU 1 (13)·ROU CUP (1)·UEFA CONF Q (2)
16,UTA Arad,ROU 1 (16)
15,Universitatea Cluj,ROU CUP (4)·ROU 1 (11)
13,AFC Hermannstadt,ROU 1 (12)·ROU CUP (1)
13,Petrolul Ploiesti,ROU 1 (13)
12,FC Botosani,ROU 1 (12)
11,FC Farul Constanta,ROU 1 (10)·ROU CUP (1)
10,FC Voluntari,ROU 1 (8)·ROU CUP (2)
10,Uni Craiova 1948,ROU 1 (9)·ROU CUP (1)
8,FC Farul Const,UEFA CL (2)·UEFA CONF (6)
7,FC Gloria Buzau,ROU 2 (3)·ROU CUP (1)·ROU 1 (3)
6,CSM Poli. Iasi,ROU 1 (6)
6,Corvinul Hunedoara,ROU 2 (3)·ROU CUP (2)·ROU SC (1)
5,Corv. Hunedoar,UEFA EL Q (4)·UEFA CONF Q (1)
5,Sf.Gheorghe,UEFA CONF (5)
2,FC Unirea 2004 Slo,ROU 1 (2)
1,CS Mioveni,ROU 2 (1)
1,CS Tunari,ROU 2 (1)
1,CSC 1599 Selimbar,ROU 2 (1)
1,Chindia Targoviste,ROU 2 (1)
1,Corv. Hunedoara,ROU CUP (1)
1,Csiksz. M.Ciuc,ROU 1 (1)
1,FC Farul Constant,ROU SC (1)
1,FC Unirea Slobozia,ROU 2 (1)
1,FK Csikszereda,ROU 2 (1)
