names,code
Aston Villa FC | Aston Villa,ENG
FC Bayern München | Bayern,GER
RSC Anderlecht | Anderlecht,BEL
PFC CSKA Sofia | CSKA Sofia,BUL
FK Crvena zvezda | Crvena zvezda,SRB
FC Dynamo Kyiv | Dynamo Kyiv,UKR
Liverpool FC | Liverpool,ENG
FC Universitatea Craiova | U Craiova,ROU
FK Austria Wien | Austria Wien,AUT
AZ Alkmaar,NED
FC Baník Ostrava | Baník,CZE
SL Benfica | Benfica,POR
Berliner FC Dynamo | Berlin,GER
Glentoran FC | Glentoran,NIR
Juventus,ITA
Kjøbenhavns BK | KB,DEN
Athlone Town AFC | Athlone,IRL
Celtic FC | Celtic,SCO
Ferencvárosi TC | Ferencváros,HUN
Hibernians FC | Hibernians,MLT
Olympiacos FC | Olympiacos,GRE
AC Omonoia | Omonoia,CYP
Östers IF | Öster,SWE
AC Oulu | Oulu,FIN
FK Partizani | Partizani,ALB
FC Progrès Niederkorn | Progrès,LUX
Real Sociedad de Fútbol | Real Sociedad,ESP
IK Start | Start,NOR
Trabzonspor,TUR
Valur,ISL
Widzew Łódź | Widzew,POL
FC Zürich | Zürich,SUI
AS Saint-Étienne | St-Étienne,FRA
