name
SSC Neapel
Lazio Rom
Inter Mailand
AC Mailand
Atalanta Bergamo
AS Rom
Juventus Turin
AC Florenz
FC Bologna
FC Turin
AC Monza
Udinese Calcio
Sassuolo Calcio
FC Empoli
US Salernitana
US Lecce
Spezia Calcio
Hellas Verona
US Cremonese
Sampdoria Genua
