name
SV Allerheiligen
SCR Altach
SK Treibach
SKU Amstetten
TUS Bad Gleichenberg
Schwarz-Weiß Bregenz
SV Dellach/Gail
Deutschlandsberger SC
FC Dornbirn 1913
SC Admira Dornbirn
ASV Draßburg
Floridsdorfer AC
SV Frauental
SV Fügen
Sturm Graz
Grazer AK
Union Gurten
TSV Hartberg
VfB Hohenems
SV Horn
SC Imst
Kapfenberger SV
Austria Klagenfurt
SAK Klagenfurt
ASKÖ Köttmannsdorf
SV Kuchl
SV Lafnitz
DSV Leoben
SV Leobendorf
Blau-Weiß Linz
Linzer ASK
Austria Lustenau
FC Marchfeld Donauauen
FC Admira Wacker
SC Neusiedl am See
SC/ESV Parndorf
SVg Purgstall
SV Ried
SC Röthis
RB Salzburg
SV Austria Salzburg
USV Scheiblingkirchen-Warth
SC Schwaz
SV Seekirchen
ASV Siegendorf
TSV St. Johann im Pongau
Sportunion St. Martin im Mühlkreis
SKN St. Pölten
FC Stadlau
Vorwärts Steyr
SV Stripfing/Weiden
SV Telfs
FCM Traiskirchen
Union Vöcklamarkt
WSG Tirol
FC Wels
Hertha Wels
First Vienna FC
Austria Wien
Rapid Wien
SR Donaufeld Wien
TWL Elektra Wien
Wiener Sport-Club
Wolfsberger AC
