name
Union Saint-Gilloise
Club Brügge
RSC Anderlecht
Royal Antwerp FC
KAA Gent
RSC Charleroi
KV Mechelen
KRC Genk
K. Sint-Truidense VV
KSV Cercle Brügge
OH Leuven
KV Oostende
KV Kortrijk
Standard Lüttich
KAS Eupen
SV Zulte Waregem
RFC Seraing
K. Beerschot VA
