name
KVC Westerlo
RSC Anderlecht
OH Leuven
Union Saint-Gilloise
FCV Dender EH
Standard Lüttich
RSC Charleroi
Royal Antwerp FC
KAA Gent
KV Kortrijk
Club Brügge
KV Mechelen
K. Beerschot VA
KRC Genk
KSV Cercle Brügge
K. Sint-Truidense VV
