name
KRC Genk
Union Saint-Gilloise
Royal Antwerp FC
Club Brügge
KAA Gent
Standard Lüttich
KVC Westerlo
KSV Cercle Brügge
RSC Charleroi
OH Leuven
RSC Anderlecht
K. Sint-Truidense VV
KV Mechelen
KV Kortrijk
KAS Eupen
KV Oostende
SV Zulte Waregem
RFC Seraing
