name
Club Brügge
Royal Antwerp FC
RSC Anderlecht
KRC Genk
KV Oostende
Standard Lüttich
KAA Gent
KV Mechelen
K. Beerschot VA
SV Zulte Waregem
OH Leuven
KAS Eupen
RSC Charleroi
KV Kortrijk
K. Sint-Truidense VV
KSV Cercle Brügge
SK Beveren
Royal Excel Mouscron
